Date,Stock
2013-04-24,620375.0
2013-04-25,618475.0
2013-04-26,619600.0
2013-04-29,617650.0
2013-04-30,618600.0
2013-05-01,618175.0
2013-05-02,616125.0
2013-05-03,608700.0
2013-05-07,604600.0
2013-05-08,605825.0
2013-05-09,605750.0
2013-05-10,604250.0
2013-05-13,606700.0
2013-05-14,618700.0
2013-05-15,627525.0
2013-05-16,624400.0
2013-05-17,629950.0
2013-05-20,628025.0
2013-05-21,624525.0
2013-05-22,627275.0
2013-05-23,623875.0
2013-05-24,621175.0
2013-05-28,619650.0
2013-05-29,613725.0
2013-05-30,611125.0
2013-05-31,608450.0
2013-06-03,617225.0
2013-06-04,614075.0
2013-06-05,612300.0
2013-06-06,610375.0
2013-06-07,609875.0
2013-06-10,609000.0
2013-06-11,609250.0
2013-06-12,609550.0
2013-06-13,608300.0
2013-06-14,618075.0
2013-06-17,629475.0
2013-06-18,632150.0
2013-06-19,638325.0
2013-06-20,643125.0
2013-06-21,664850.0
2013-06-24,678225.0
2013-06-25,674850.0
2013-06-26,671100.0
2013-06-27,667425.0
2013-06-28,665775.0
2013-07-01,662275.0
2013-07-02,659200.0
2013-07-03,660725.0
2013-07-04,663175.0
2013-07-05,660000.0
2013-07-08,656600.0
2013-07-09,650125.0
2013-07-10,646000.0
2013-07-11,645175.0
2013-07-12,640775.0
2013-07-15,637850.0
2013-07-16,641825.0
2013-07-17,641225.0
2013-07-18,640600.0
2013-07-19,638325.0
2013-07-22,634650.0
2013-07-23,632050.0
2013-07-24,627675.0
2013-07-25,622950.0
2013-07-26,621175.0
2013-07-29,618775.0
2013-07-30,613550.0
2013-07-31,612800.0
2013-08-01,610725.0
2013-08-02,608675.0
2013-08-05,606900.0
2013-08-06,605125.0
2013-08-07,601600.0
2013-08-08,597575.0
2013-08-09,594500.0
2013-08-12,592950.0
2013-08-13,589725.0
2013-08-14,588450.0
2013-08-15,584200.0
2013-08-16,584075.0
2013-08-19,577450.0
2013-08-20,572525.0
2013-08-21,566925.0
2013-08-22,565500.0
2013-08-23,564225.0
2013-08-27,576350.0
2013-08-28,574825.0
2013-08-29,577675.0
2013-08-30,588000.0
2013-09-02,589750.0
2013-09-03,602850.0
2013-09-04,603900.0
2013-09-05,603275.0
2013-09-06,600275.0
2013-09-09,594625.0
2013-09-10,588475.0
2013-09-11,585275.0
2013-09-12,579750.0
2013-09-13,577525.0
2013-09-16,574675.0
2013-09-17,574600.0
2013-09-18,571950.0
2013-09-19,568575.0
2013-09-20,562250.0
2013-09-23,556875.0
2013-09-24,551050.0
2013-09-25,547550.0
2013-09-26,545625.0
2013-09-27,541125.0
2013-09-30,538025.0
2013-10-01,533325.0
2013-10-02,531875.0
2013-10-03,529950.0
2013-10-04,525925.0
2013-10-07,523425.0
2013-10-08,517100.0
2013-10-09,515575.0
2013-10-10,512450.0
2013-10-11,509325.0
2013-10-14,508575.0
2013-10-15,503425.0
2013-10-16,502750.0
2013-10-17,500325.0
2013-10-18,497500.0
2013-10-21,494850.0
2013-10-22,492350.0
2013-10-23,489400.0
2013-10-24,485050.0
2013-10-25,480875.0
2013-10-28,478200.0
2013-10-29,476675.0
2013-10-30,476025.0
2013-10-31,476150.0
2013-11-01,476400.0
2013-11-04,474675.0
2013-11-05,469975.0
2013-11-06,468925.0
2013-11-07,467025.0
2013-11-08,465650.0
2013-11-11,462875.0
2013-11-12,459425.0
2013-11-13,457475.0
2013-11-14,455725.0
2013-11-15,451650.0
2013-11-18,448950.0
2013-11-19,447650.0
2013-11-20,445700.0
2013-11-21,442125.0
2013-11-22,439100.0
2013-11-25,437500.0
2013-11-26,434850.0
2013-11-27,431900.0
2013-11-28,429200.0
2013-11-29,423825.0
2013-12-02,420400.0
2013-12-03,418750.0
2013-12-04,415425.0
2013-12-05,411400.0
2013-12-06,408100.0
2013-12-09,405275.0
2013-12-10,402050.0
2013-12-11,399875.0
2013-12-12,396075.0
2013-12-13,393000.0
2013-12-16,389175.0
2013-12-17,386550.0
2013-12-18,384950.0
2013-12-19,383925.0
2013-12-20,382550.0
2013-12-23,379100.0
2013-12-24,371975.0
2013-12-27,370950.0
2013-12-30,367450.0
2013-12-31,365700.0
2014-01-02,365700.0
2014-01-03,359075.0
2014-01-06,356125.0
2014-01-07,353075.0
2014-01-08,351675.0
2014-01-09,348250.0
2014-01-10,343875.0
2014-01-13,340775.0
2014-01-14,337775.0
2014-01-15,336250.0
2014-01-16,336825.0
2014-01-17,335775.0
2014-01-20,334550.0
2014-01-21,330675.0
2014-01-22,328375.0
2014-01-23,327400.0
2014-01-24,326975.0
2014-01-27,325400.0
2014-01-28,322575.0
2014-01-29,318800.0
2014-01-30,316200.0
2014-01-31,314525.0
2014-02-03,313875.0
2014-02-04,313275.0
2014-02-05,311225.0
2014-02-06,309250.0
2014-02-07,308025.0
2014-02-10,306400.0
2014-02-11,303825.0
2014-02-12,302050.0
2014-02-13,300675.0
2014-02-14,299125.0
2014-02-17,296025.0
2014-02-18,293150.0
2014-02-19,290625.0
2014-02-20,289600.0
2014-02-21,285350.0
2014-02-24,282475.0
2014-02-25,279150.0
2014-02-26,276400.0
2014-02-27,274350.0
2014-02-28,276225.0
2014-03-03,273725.0
2014-03-04,275200.0
2014-03-05,273675.0
2014-03-06,272175.0
2014-03-07,269000.0
2014-03-10,265400.0
2014-03-11,257600.0
2014-03-12,255500.0
2014-03-13,253275.0
2014-03-14,251300.0
2014-03-17,253375.0
2014-03-18,271750.0
2014-03-19,269725.0
2014-03-20,267850.0
2014-03-21,265700.0
2014-03-24,263675.0
2014-03-25,266825.0
2014-03-26,269750.0
2014-03-27,268550.0
2014-03-28,267200.0
2014-03-31,265175.0
2014-04-01,263250.0
2014-04-02,261375.0
2014-04-03,260100.0
2014-04-04,257775.0
2014-04-07,254575.0
2014-04-08,252600.0
2014-04-09,250775.0
2014-04-10,250025.0
2014-04-11,248325.0
2014-04-14,244950.0
2014-04-15,242775.0
2014-04-16,242300.0
2014-04-17,242300.0
2014-04-22,241925.0
2014-04-23,240975.0
2014-04-24,239950.0
2014-04-25,238950.0
2014-04-28,237000.0
