Date,Value
2010-01-26,29783.0
2010-01-27,30583.0
2010-01-28,31557.0
2010-01-29,31156.0
2010-02-01,30156.0
2010-02-02,30606.0
2010-02-03,30055.0
2010-02-04,29780.0
2010-02-05,30530.0
2010-02-08,29657.0
2010-02-09,29857.0
2010-02-10,30680.0
2010-02-11,30055.0
2010-02-12,29978.0
2010-02-22,29253.0
2010-02-23,28879.0
2010-02-24,29503.0
2010-02-25,29678.0
2010-02-26,31780.0
2010-03-01,32604.0
2010-03-02,34834.0
2010-03-03,35710.0
2010-03-04,35835.0
2010-03-05,36411.0
2010-03-08,40282.0
2010-03-09,42170.0
2010-03-10,44445.0
2010-03-11,46091.0
2010-03-12,50417.0
2010-03-15,55836.0
2010-03-16,55665.0
2010-03-17,53988.0
2010-03-18,52589.0
2010-03-19,50962.0
2010-03-22,48840.0
2010-03-23,48814.0
2010-03-24,48014.0
2010-03-25,48763.0
2010-03-26,47908.0
2010-03-29,47884.0
2010-03-30,48409.0
2010-03-31,50452.0
2010-04-01,51328.0
2010-04-02,52128.0
2010-04-06,57162.0
2010-04-07,57661.0
2010-04-08,58783.0
2010-04-09,59158.0
2010-04-12,62150.0
2010-04-13,64768.0
2010-04-14,73175.0
2010-04-15,80098.0
2010-04-16,84922.0
2010-04-19,84623.0
2010-04-20,82100.0
2010-04-21,80652.0
2010-04-22,79751.0
2010-04-23,79674.0
2010-04-26,83390.0
2010-04-27,83612.0
2010-04-28,84163.0
2010-04-29,84714.0
2010-04-30,84063.0
2010-05-04,84237.0
2010-05-05,82835.0
2010-05-06,79232.0
2010-05-07,77753.0
2010-05-10,76981.0
2010-05-11,74910.0
2010-05-12,73461.0
2010-05-13,71738.0
2010-05-14,73136.0
2010-05-17,74811.0
2010-05-18,74691.0
2010-05-19,71717.0
2010-05-20,66921.0
2010-05-21,58389.0
2010-05-24,56593.0
2010-05-25,54944.0
2010-05-26,53465.0
2010-05-27,51666.0
2010-05-28,50991.0
2010-05-31,51991.0
2010-06-01,51491.0
2010-06-02,49112.0
2010-06-03,48012.0
2010-06-04,46587.0
2010-06-07,45362.0
2010-06-08,44170.0
2010-06-09,42601.0
2010-06-10,41727.0
2010-06-11,40571.0
2010-06-17,37374.0
2010-06-18,41074.0
2010-06-21,40424.0
2010-06-22,37597.0
2010-06-23,34144.0
2010-06-24,33294.0
2010-06-25,32045.0
2010-06-28,29797.0
2010-06-29,28299.0
2010-06-30,27795.0
2010-07-01,27646.0
2010-07-02,27471.0
2010-07-05,26971.0
2010-07-06,26521.0
2010-07-07,26245.0
2010-07-08,26245.0
2010-07-09,26245.0
2010-07-12,26170.0
2010-07-13,26021.0
2010-07-14,26021.0
2010-07-15,33025.0
2010-07-16,34350.0
2010-07-19,34350.0
2010-07-20,30871.0
2010-07-21,28071.0
2010-07-22,27447.0
2010-07-23,26198.0
2010-07-26,24018.0
2010-07-27,23067.0
2010-07-28,22665.0
2010-07-29,22166.0
2010-07-30,22216.0
2010-08-02,21715.0
2010-08-03,21365.0
2010-08-04,21289.0
2010-08-05,21239.0
2010-08-06,21113.0
2010-08-09,21188.0
2010-08-10,21138.0
2010-08-11,21339.0
2010-08-12,21137.0
2010-08-13,20989.0
2010-08-16,23016.0
2010-08-17,25443.0
2010-08-18,25443.0
2010-08-19,20617.0
2010-08-20,20468.0
2010-08-23,19115.0
2010-08-24,18139.0
2010-08-25,18114.0
2010-08-26,17065.0
2010-08-27,16864.0
2010-08-30,16864.0
2010-08-31,17313.0
2010-09-01,17589.0
2010-09-02,17963.0
2010-09-03,19234.0
2010-09-06,19234.0
2010-09-07,19385.0
2010-09-08,21335.0
2010-09-09,22237.0
2010-09-10,22237.0
2010-09-13,22387.0
2010-09-14,22936.0
2010-09-15,26020.0
2010-09-16,29551.0
2010-09-17,29551.0
2010-09-20,26941.0
2010-09-21,23059.0
2010-09-27,22834.0
2010-09-28,22535.0
2010-09-29,22337.0
2010-09-30,22762.0
2010-10-08,22711.0
2010-10-11,22810.0
2010-10-12,24859.0
2010-10-13,26223.0
2010-10-14,32172.0
2010-10-15,34802.0
2010-10-18,39590.0
2010-10-19,39691.0
2010-10-20,37506.0
2010-10-21,36652.0
2010-10-22,36130.0
2010-10-25,36354.0
2010-10-26,37433.0
2010-10-27,38538.0
2010-10-28,38738.0
2010-10-29,39214.0
2010-11-01,40288.0
2010-11-02,41512.0
2010-11-03,41512.0
2010-11-04,42616.0
2010-11-05,42791.0
2010-11-08,43917.0
2010-11-09,44925.0
2010-11-10,48404.0
2010-11-11,52931.0
2010-11-12,53331.0
2010-11-15,53005.0
2010-11-16,57873.0
2010-11-17,57199.0
2010-11-18,52564.0
2010-11-19,51686.0
2010-11-22,51535.0
2010-11-23,52512.0
2010-11-24,51889.0
2010-11-25,51589.0
2010-11-26,50888.0
2010-11-29,50588.0
2010-11-30,50383.0
2010-12-01,49908.0
2010-12-02,49958.0
2010-12-03,50705.0
2010-12-04,50855.0
2010-12-07,50955.0
2010-12-09,54378.0
2010-12-10,56231.0
2010-12-13,56356.0
2010-12-14,59385.0
2010-12-15,61508.0
2010-12-16,64957.0
2010-12-17,64005.0
2010-12-20,60631.0
2010-12-21,59406.0
2010-12-22,59256.0
2010-12-23,59256.0
2010-12-24,59531.0
2010-12-27,59480.0
2010-12-28,58383.0
2010-12-29,60240.0
2010-12-30,59888.0
2010-12-31,58576.0
2011-01-04,59427.0
2011-01-05,60627.0
2011-01-06,60878.0
2011-01-07,61226.0
2011-01-10,60278.0
2011-01-11,60081.0
2011-01-12,59781.0
2011-01-13,59304.0
2011-01-14,65307.0
2011-01-17,66530.0
2011-01-18,68538.0
2011-01-19,68388.0
2011-01-20,67883.0
2011-01-21,67358.0
2011-01-24,65354.0
2011-01-25,63649.0
2011-01-26,62547.0
2011-01-27,62397.0
2011-01-28,63694.0
2011-01-31,65507.0
2011-02-01,65507.0
2011-02-09,66056.0
2011-02-10,66056.0
2011-02-11,66056.0
2011-02-14,68661.0
2011-02-15,75394.0
2011-02-16,81287.0
2011-02-17,81112.0
2011-02-18,80763.0
2011-02-21,79529.0
2011-02-22,76927.0
2011-02-23,79174.0
2011-02-24,79450.0
2011-02-25,77854.0
2011-02-28,78531.0
2011-03-01,78556.0
2011-03-02,78432.0
2011-03-03,78556.0
2011-03-04,79424.0
2011-03-07,78926.0
2011-03-08,80474.0
2011-03-09,77896.0
2011-03-10,75746.0
2011-03-11,71077.0
2011-03-14,73099.0
2011-03-15,70428.0
2011-03-16,72225.0
2011-03-17,72073.0
2011-03-18,72073.0
2011-03-21,70599.0
2011-03-22,70599.0
2011-03-23,66246.0
2011-03-24,66246.0
2011-03-25,66246.0
2011-03-28,60421.0
2011-03-29,55510.0
2011-03-30,53702.0
2011-03-31,52503.0
2011-04-01,48721.0
2011-04-06,45842.0
2011-04-07,44765.0
2011-04-08,43613.0
2011-04-11,41462.0
2011-04-12,41361.0
2011-04-13,41361.0
2011-04-14,39962.0
2011-04-15,43963.0
2011-04-18,43391.0
2011-04-19,42018.0
2011-04-20,36694.0
2011-04-21,34896.0
2011-04-22,32843.0
2011-04-25,32291.0
2011-04-26,31564.0
2011-04-27,29439.0
2011-04-28,28740.0
2011-04-29,27267.0
2011-05-03,25693.0
2011-05-04,24968.0
2011-05-05,23169.0
2011-05-06,21246.0
2011-05-09,21171.0
2011-05-10,20596.0
2011-05-11,20396.0
2011-05-12,20396.0
2011-05-13,30231.0
2011-05-16,31645.0
2011-05-17,32475.0
2011-05-18,32475.0
2011-05-19,30553.0
2011-05-20,28652.0
2011-05-23,26471.0
2011-05-24,26346.0
2011-05-25,26222.0
2011-05-26,25324.0
2011-05-27,24399.0
2011-05-30,24124.0
2011-05-31,23999.0
2011-06-01,23999.0
2011-06-02,23698.0
2011-06-03,23198.0
2011-06-07,23198.0
2011-06-08,22873.0
2011-06-09,22774.0
2011-06-10,22774.0
2011-06-13,22399.0
2011-06-14,22399.0
2011-06-15,26904.0
2011-06-16,29053.0
2011-06-17,29053.0
2011-06-20,25154.0
2011-06-21,24379.0
2011-06-22,23979.0
2011-06-23,22881.0
2011-06-24,20855.0
2011-06-27,20680.0
2011-06-28,21027.0
2011-06-29,21126.0
2011-06-30,21126.0
2011-07-01,21576.0
2011-07-04,21702.0
2011-07-05,21781.0
2011-07-06,22006.0
2011-07-07,22306.0
2011-07-08,22306.0
2011-07-11,22607.0
2011-07-12,24131.0
2011-07-13,25129.0
2011-07-14,29649.0
2011-07-15,30374.0
2011-07-18,32725.0
2011-07-19,32725.0
2011-07-20,30180.0
2011-07-21,31520.0
2011-07-22,31519.0
2011-07-25,31468.0
2011-07-26,31593.0
2011-07-27,31367.0
2011-07-28,31667.0
2011-07-29,31893.0
2011-08-01,31893.0
2011-08-02,32294.0
